syscheck.event,syscheck.path,syscheck.attrs_after,syscheck.changed_attributes,syscheck.size_before,syscheck.size_after,syscheck.mtime_before,syscheck.mtime_after,syscheck.md5_before,syscheck.md5_after,syscheck.uid_after,syscheck.uname_after,syscheck.arch,agent.name,@timestamp
deleted,C:\Users\Project\Documents\wonder.jpg,"write,system,exec,archive","owner,mtime",1796401,1432202,"May 05, 2025 @ 08:50:07","May 05, 2025 @ 09:19:36",bed1231d5decb769376ff5e61d8cb848,549d31428b8e5be898a1dfcf159173e2ffc183296e6bd0a9fae2d52d93280f76,5446,System,arm64,DESKTOP-ALPHA,"May 22, 2025 @ 11:49:16.421"
deleted,C:\Windows\System32\front.pdf,"write,archive,hidden,read",mode,1686567,1272089,"May 06, 2025 @ 14:35:26","May 06, 2025 @ 14:49:44",fb4fd11449d802f300220dd32579bb1b1042d7f83a9a239eaa77b8d58c80d941,1bfcb02e6a742bae44d386ec93f53df0a4f50bf235515be23880c1c814e496ed,4670,User2,x86,HOME-PC,"May 15, 2025 @ 09:10:27.770"
deleted,C:\Windows\Temp\make.csv,"archive,exec","mode,group",749176,1156620,"May 03, 2025 @ 00:41:28","May 03, 2025 @ 00:44:05",8f7cdafc7d3887edc665e3786b3e68a93bda059d84808b9ad282a92bc1b6aa6a,68c2e59e9e0f2a404effd985b046d2b5,7770,User5,x86_64,SERVER-BETA,"May 27, 2025 @ 20:31:06.261"
added,C:\Users\Project\Documents\arrive.bat,"write,hidden","owner,group",1503971,1611385,"May 09, 2025 @ 22:39:32","May 09, 2025 @ 23:12:37",95170f58639dd9400b57b05dc686647b07e35e730e13aa653aa93fcf43934ba1,3b45e396174b36534ccd3fb0eadfe351af0b34663d2327f859fa71a4b4fe2775,9658,Admin,AMD64,LAPTOP-1234,"May 26, 2025 @ 05:04:53.591"
deleted,C:\Users\Project\Documents\standard.jpg,"write,hidden","group,owner",265885,1,"May 09, 2025 @ 13:59:32","May 09, 2025 @ 14:44:27",d49d3f6ae1eb7fcca7e094a5b78a291064229014d57e6e078477987e3c89ee86,3df3859b6a8c41cff7debecc0d8a47c9935e235392e05eb9a61ada8818fa0bc8,6570,Project,AMD64,SERVER-BETA,"May 21, 2025 @ 21:21:24.193"
added,C:\Users\Public\Videos\dinner.dll,"write,hidden,archive,exec","owner,group",1841978,1658274,"May 14, 2025 @ 02:03:58","May 14, 2025 @ 02:51:49",7747d091542e2651d70c6ffb900a30c9663dab6a5dfaaece574d7f9e9ae5f61b,970e830373a596b47b4d46a61aeb7cc8ce3416146ffeed6b789b3d8436edf77b,1140,System,AMD64,DESKTOP-5JEIKFF,"May 21, 2025 @ 14:38:37.924"
deleted,E:\Data\month.pdf,"exec,system,read","mode,owner",1114707,1446625,"May 30, 2025 @ 14:10:47","May 30, 2025 @ 14:16:32",a745ac8e5f0e4c3ae60f7008d459e07a8b22a2f1b2732b1505c59bf76dc7ac41,fc9d229c5cc0cf59d2f27cba86089b5e209fc4ac4cfaec72c6d2fa9c5d0e7b6c,2808,Guest,AMD64,DESKTOP-5JEIKFF,"May 04, 2025 @ 22:31:00.543"
added,C:\ProgramData\issue.bat,"hidden,write",size,1067895,965085,"May 17, 2025 @ 07:12:12","May 17, 2025 @ 07:42:12",9afd13cc0cb386f2ea4e95be2837c4f948784ab5104467886ee9ccf50e990648,d80ed0f4d470b40d773ecefade5f4b62e419fc52bd17b7ce42d273122d85a34c,8687,Project,AMD64,DESKTOP-XYZ,"May 26, 2025 @ 13:09:13.035"
modified,C:\Users\Project\Documents\PM.bat,"write,hidden","mode,owner",1332668,1793878,"May 24, 2025 @ 12:56:27","May 24, 2025 @ 13:46:45",07804e414826f22be270328987ba3822,4382abe69b652cb666d97ed60602ca4f9ed3a2a52de0558c48250942f216c21e,7436,User3,x86,DESKTOP-5JEIKFF,"May 07, 2025 @ 18:45:16.094"
added,C:\Users\Guest\Documents\professor.xlsx,"write,read","owner,mode",703724,305191,"May 19, 2025 @ 11:25:44","May 19, 2025 @ 12:11:58",5cc3990534d9c1303c234fc49665c451372eb4894625ac41fae0bad3223c406f,05c1712a8538a5ba7636df350700d111f86cafac2ac4531929b3b47e6273f7f3,7498,Admin,x86,DESKTOP-5JEIKFF,"May 15, 2025 @ 08:57:03.914"
modified,C:\Users\User1\Downloads\claim.docx,"hidden,write,read",group,13418,404792,"May 07, 2025 @ 23:09:01","May 07, 2025 @ 23:33:06",92f3ca468017b1d88e78e54a7d95ce69d84c4a9175e10bb78d8589c36da383fb,0159bff2d35f5f7b95b84f5f2c77049e6a7df3b8ade4296f6c497e992306fb03,2695,Project,x86,WIN-LAPTOP,"May 04, 2025 @ 17:57:16.079"
added,C:\Users\User1\Downloads\through.csv,"read,system,archive",mode,1416949,1521454,"May 20, 2025 @ 05:15:10","May 20, 2025 @ 05:54:14",c0672d51fed87c411a255c4d06b0fd09e575b199b5dfe8f504d16505c41d252a,31e2ded41052ec818739b13ddc076caf92ce835697a2286053e0560af0493776,3382,System,AMD64,HOME-PC,"May 08, 2025 @ 23:10:36.286"
deleted,D:\Work\film.docx,"exec,write,hidden","group,size",388616,749947,"May 08, 2025 @ 06:33:24","May 08, 2025 @ 06:36:45",15e57aa555c4609d046a5d9e10a0170b,2cb51225e96b1632c256d97b3e68a44e,9097,Project,arm64,SERVER-BETA,"May 19, 2025 @ 15:58:01.225"
deleted,C:\Users\Public\Videos\base.csv,"write,system",group,1180227,917199,"May 09, 2025 @ 23:49:06","May 10, 2025 @ 00:45:55",79c29709dff6719357383ddedb62df49a1d12bb4e93394872295adc8d9118e9c,faddb1a1f8a3afdeff3a19b80387268d448a86b963f081a49eb91826e92cf3de,5756,User6,x86_64,DESKTOP-ALPHA,"May 12, 2025 @ 00:55:50.586"
added,C:\Users\Guest\Documents\successful.docx,"hidden,exec",mtime,1748810,1693111,"May 19, 2025 @ 11:44:52","May 19, 2025 @ 12:39:24",22afda462972229998b5c61a0e0b7a6c163a9b8b7b6870fb6ee19b4707a0a3ac,8db7b51e84644b035ee7fd020cbfd1916ad56bd47e2638dc5a85df3c69c8a09c,7977,User1,arm64,SERVER-BETA,"May 22, 2025 @ 19:59:20.966"
deleted,C:\Windows\System32\third.jpg,"hidden,system",mtime,655785,528461,"May 26, 2025 @ 03:50:17","May 26, 2025 @ 04:25:44",36c38be0142eb0a2f41186d856c9f1f6e3c0bcb5b79e25ff5ab46a8a65a861fb,49248fcfee6786b65e4abd7573b5e140d9eaed89b74c1a10d121dfa73e955cdd,5471,User3,AMD64,WIN-LAPTOP,"May 11, 2025 @ 17:01:04.723"
modified,C:\Users\User2\Desktop\end.txt,"write,system,hidden",size,1436221,1420279,"May 07, 2025 @ 22:09:45","May 07, 2025 @ 22:52:35",bdc8797495925eb3b7b191a73bb3c2bdf2a40816a283c8ad76a2f2318a2bad44,2ee29792286e23989e5f008cf41f09d5dcb40656a4dd22cd790cfa9f3748bcc1,6856,User2,x86_64,WORKSTATION-01,"May 19, 2025 @ 23:57:59.161"
added,C:\Users\User2\Desktop\rather.txt,"exec,system",mtime,1832848,2245532,"May 09, 2025 @ 08:41:57","May 09, 2025 @ 09:21:47",30eda812d61a8de6b24d12d9861c23ec,7e568c625076078c5fe6fcb83b900914647ec13e21e7dff9c7dcbf923ec41caa,1822,Guest,AMD64,LAPTOP-1234,"May 16, 2025 @ 20:37:59.097"
added,C:\ProgramData\inside.jpg,"system,archive,hidden",mtime,191638,408976,"May 23, 2025 @ 08:42:24","May 23, 2025 @ 09:31:24",b14082703bc2eaa9e2b46c0e1dafb62ad7d92174d812d48e350e1824615e90c0,d7d44f55988ee3caf936e4f15f6d6a46b5fddea135138570d7450436d2ee6d1e,6668,User3,x86,WORKSTATION-01,"May 17, 2025 @ 11:28:53.798"
deleted,E:\Data\full.txt,"system,write",mode,799338,887871,"May 15, 2025 @ 11:31:55","May 15, 2025 @ 11:33:21",3996a9c5442042985525b93b26842758d6faa14acc7a44223722982cd0208ec8,1e1a8500bf1aef16e89377122279d10250d548942905506f777fa27b2d7f6a80,7605,User1,x86_64,DESKTOP-5JEIKFF,"May 14, 2025 @ 20:02:17.562"
added,C:\Users\Guest\Documents\answer.csv,"archive,read,exec",mtime,1934129,1900306,"May 03, 2025 @ 11:18:06","May 03, 2025 @ 11:59:22",a90a46050c2f1ee3be9de50301e97900760c8cfc1f953764b920bd711f87fd85,8abe96ea278cf40a544a772e2da5141dc997d34af19afe98d2f5139d792ae9d4,1942,System,AMD64,WIN-LAPTOP,"May 17, 2025 @ 02:12:45.938"
modified,E:\Data\people.bat,"read,hidden,system","mtime,mode",1599821,1361133,"May 30, 2025 @ 10:56:45","May 30, 2025 @ 11:23:15",016c7c96f5b35c00e71986f2a8a1bd605bac242c06960cff9c08712813d33bc7,0e5763438d870d09ee28c110082d61732519bc0905e3d94c0987630fd31db422,1611,User6,AMD64,DESKTOP-ALPHA,"May 12, 2025 @ 09:06:05.203"
added,C:\Users\Public\Videos\program.pdf,"hidden,archive",group,1048646,1495021,"May 19, 2025 @ 19:40:57","May 19, 2025 @ 19:48:37",5bc4887263996c14d0adb369f901a4cb8632af1d15b6427cd0eea2008e1305a7,029d4dcbbbddcf24729e45c777d7e588,7252,System,arm64,DESKTOP-5JEIKFF,"May 15, 2025 @ 21:45:16.040"
deleted,C:\ProgramData\small.dll,"system,write,archive",owner,444708,518375,"May 12, 2025 @ 22:23:32","May 12, 2025 @ 22:31:03",d08d7be0f2be9d31a70b586f4f0c5ff22aff52617d9e9a69c910099d5a7efd36,da28eb52782f05b4c62f35a04e338c176f2a4012ad2e19ae5ba34d5495be041f,3485,User1,arm64,SERVER-001,"May 15, 2025 @ 22:02:36.402"
added,C:\Windows\System32\personal.pdf,"system,write,read","owner,group",792968,947647,"May 14, 2025 @ 09:25:59","May 14, 2025 @ 10:21:41",4f80097a49341fa2ee6fa14eb3a375dbb1073826f89f3c247f6c7be72e78ff7f,9cc9f4fa12d08669013ce8346f3744b26a18c7930d8db02eba834da83bd39d87,7773,User4,arm64,DESKTOP-ALPHA,"May 13, 2025 @ 07:29:43.041"
deleted,C:\Users\User2\Desktop\beat.txt,"archive,hidden,system,read",mode,658400,601132,"May 21, 2025 @ 17:12:57","May 21, 2025 @ 17:50:28",7a36dcfd889d22a1e808636ffe5d90843a7edf0724c6b54dd88b26524f8e004f,f354bb7406a8086e241f7360983feb09,4726,System,x86,SERVER-001,"May 31, 2025 @ 20:18:09.066"
modified,D:\Work\writer.bat,"exec,archive,write","mtime,size",1342302,880949,"May 21, 2025 @ 15:04:10","May 21, 2025 @ 15:07:33",4b3aa49e9baed390a083b30422163ae2dbcbb6237c0372f2b5df5131e02dbfb9,2a0a97256c0412729ff56d6136adab15d0ab8408fef5f870aea34f0e69b51328,3118,User4,x86,WIN-LAPTOP,"May 19, 2025 @ 01:14:50.521"
modified,C:\Users\Project\Documents\say.docx,"system,read,hidden",mtime,1054807,794643,"May 07, 2025 @ 10:49:00","May 07, 2025 @ 10:50:05",f0b95a975ae6f5368add96b85a633e372bd02b390fba5571bfe3a133380ef986,c0bfe48cbed7fae561c8f147c33f3a3a,7666,User3,x86_64,DESKTOP-XYZ,"May 21, 2025 @ 19:47:43.216"
added,C:\Windows\System32\others.pptx,"system,archive,exec,write","mtime,owner",880418,584724,"May 28, 2025 @ 04:27:58","May 28, 2025 @ 04:36:52",65a4c31c94efaec7abc2d9825d5bdbfde8e44d45e21b9f6b7cf69fc94f07e11e,09ff2f57c48fe89699060e218b6f70314973a747bd11927d8754f04abeb9bcb6,7576,System,x86,PC-GAMER,"May 10, 2025 @ 04:57:39.582"
added,D:\Work\whether.zip,"write,read,hidden,system","owner,size",78900,141998,"May 30, 2025 @ 21:45:42","May 30, 2025 @ 22:07:04",53e7fecdc7e70ee0233909f4c69dde95e0261d5e4bba869160b6ad843c87862b,8e72159ae2aabf2893c50bbd767b0b43bac6b47376fd945e222292cea4143fc6,9563,Project,arm64,HOME-PC,"May 13, 2025 @ 20:46:13.737"
deleted,D:\Work\situation.pdf,"system,archive",group,1553746,1444601,"May 10, 2025 @ 09:04:48","May 10, 2025 @ 09:37:08",1379269f27ef9f4813c3c536308830d36b0c311e0ecfcdaa913382e9c7a39ba9,9eef5672bb6ed07de8420c72860bbeb83b26c5b2b14e287d70e472bcc9073ebb,2469,User1,AMD64,PC-GAMER,"May 10, 2025 @ 06:10:20.408"
deleted,E:\Data\investment.dll,"system,read,exec",group,1833608,1798194,"May 23, 2025 @ 13:09:49","May 23, 2025 @ 14:06:10",d4a9daddb16948bbda640ec015cbb1b4e65bc66b553102251efd482f88ceaff3,937c016c03635a1150cc5d0adb320aab2157c64e898d43b7a210de2022a4b94a,7405,System,arm64,HOME-PC,"May 14, 2025 @ 23:47:05.565"
added,C:\Windows\Temp\show.jpg,"exec,read","size,group",767766,480264,"May 30, 2025 @ 12:54:46","May 30, 2025 @ 12:59:36",3b6cf529b28e768d3235b33a676c3865b6f7486c220fb40f3326b5c8615a3555,acd9f073ebb618856b3c04693b780ba28a56b3a85fbf20f1ef49f72423f1a21a,4983,User4,AMD64,DESKTOP-ALPHA,"May 13, 2025 @ 07:31:45.891"
deleted,D:\Work\discover.pptx,"exec,read,archive,hidden","owner,mode",156131,1,"May 03, 2025 @ 18:15:46","May 03, 2025 @ 19:13:25",27fe19d33b1c1a5a731e4f791e9a70e9,ba50dcf0cec39852b60b145c7f065fe33a0509973f20ada8235f234f15cfd505,4162,User4,x86_64,DESKTOP-XYZ,"May 26, 2025 @ 15:49:32.523"
modified,C:\Users\User1\Downloads\usually.exe,"exec,system,archive","owner,mode",996155,568626,"May 17, 2025 @ 06:57:30","May 17, 2025 @ 07:41:19",6bd9e441b46bc980ba201a7b703d80fe,75a2f39384968d28c6f1c6858fcdabe4dbd9694cc2efb5b8622bb53a9d4b0834,4867,Guest,x86,DESKTOP-XYZ,"May 07, 2025 @ 23:24:31.726"
deleted,C:\Users\User2\Desktop\term.xlsx,"archive,write,exec,system",mtime,1412096,1642144,"May 18, 2025 @ 10:00:20","May 18, 2025 @ 10:58:41",7f1ad07dfcb8af6fbcbe170981db7d11,2ad1440c5535bab3df2d5a72bf07bf5774225488bcc807bbfaad04d3ae266166,1575,Project,arm64,LAPTOP-1234,"May 07, 2025 @ 06:22:02.348"
modified,C:\Users\Public\Videos\must.jpg,"read,exec,system,archive","mode,mtime",1513950,1838011,"May 02, 2025 @ 18:07:40","May 02, 2025 @ 18:50:50",aa32a0a6959ca33bebaa503f329cc3f9e0b897cd35adc5fca1538d51eb119e6f,40a12b0416a8f7d8b6ac9aea78f8973b4ef0674f1d1e526c1c7363202be157fd,4474,Project,arm64,DESKTOP-5JEIKFF,"May 24, 2025 @ 11:39:19.543"
added,C:\Users\Public\Videos\law.xlsx,"read,exec,hidden,system",group,595489,846004,"May 16, 2025 @ 15:01:42","May 16, 2025 @ 15:25:27",53a0e01508fc674706c10a75d4fb23235824b4fd77fbd01aa2004745fd65e9c7,3e7dc2cb1326cd11e6a7a8f06f3904953568bcd4c4852e9d9ac62826ab7c05ee,3120,User2,arm64,SERVER-001,"May 30, 2025 @ 18:31:28.569"
deleted,C:\Users\User2\Desktop\beat.txt,"exec,archive,hidden,read","size,mtime",1644100,1340702,"May 09, 2025 @ 18:34:16","May 09, 2025 @ 18:56:45",37037ac3156f640976aa9bc93ac822ef4f643ba0cf4612c9e92379b18415b982,815eb135c5e9b8df2d926e83f2f27290638468fc401a6067e4271b19f40de785,7411,User6,x86_64,DESKTOP-5JEIKFF,"May 11, 2025 @ 18:42:37.120"
modified,E:\Data\maybe.xlsx,"system,exec,write",owner,882494,452654,"May 28, 2025 @ 17:30:26","May 28, 2025 @ 18:00:15",fc0560a3fea454812155dbe5d60fe072,36e1e2c8b71cd8ca2d471ee1ceca39bdcbb4110622630f6508b18dd4efdacfb2,8374,System,AMD64,SERVER-BETA,"May 22, 2025 @ 14:26:53.152"
added,C:\Windows\Temp\garden.exe,"system,hidden",owner,1371850,1478561,"May 03, 2025 @ 20:42:47","May 03, 2025 @ 20:43:05",0ca1055b2bb81148bc971dc95275f6ca22a155ba66fd82784f841a467f1f583f,fe5261200a20599cd72f757494f26cb929f9f8f18695bdccfc48184c39deb045,5774,System,x86_64,DESKTOP-5JEIKFF,"May 11, 2025 @ 16:30:26.298"
deleted,D:\Work\really.docx,"archive,system,write,read",mode,407391,181546,"May 30, 2025 @ 04:36:47","May 30, 2025 @ 04:45:05",fcc3942bc7c401323a200a861adf47aa15c8d5ba8bf785a424e17adf1176cb43,ccc3823a0b0e267e171cfe7f7e67405515d8745364373d374985f497fb12b02b,5751,User2,arm64,DESKTOP-ALPHA,"May 19, 2025 @ 18:47:55.937"
deleted,D:\Work\begin.pptx,"write,archive,read,hidden","group,mode",684347,510260,"May 12, 2025 @ 01:07:51","May 12, 2025 @ 02:07:18",5d97093dd717cbfc4a4391c89b31058db90938d168101aa67c53b723ee189738,2c45f377e4b4671146709fb217c0fe56f6d29d8afba3b6f3c5c4473f68d7a072,2359,User2,AMD64,SERVER-BETA,"May 10, 2025 @ 18:51:50.778"
deleted,C:\Windows\System32\air.txt,"hidden,read,system,exec","owner,group",430484,30003,"May 17, 2025 @ 06:46:04","May 17, 2025 @ 07:02:35",86e657c8b0f8e2537453cd8ae598bb136895d1c6e452528b549158cc4cdcf4b5,315389adc91c59a3072be490eccd2d3ca95badabe53784616b2b3ede41179a0d,5470,Guest,x86_64,HOME-PC,"May 23, 2025 @ 01:26:42.657"
deleted,C:\Users\User1\Downloads\any.pdf,"hidden,system,read","owner,mode",1785450,2170761,"May 12, 2025 @ 11:11:56","May 12, 2025 @ 11:22:00",bcfb139e482f85c2e3c27c9f839c88ef,827bf4d798fe55a045422d37b53798527a8c343640d0e5e51fe22f7ca1f0408e,1119,User3,arm64,PC-GAMER,"May 22, 2025 @ 21:00:44.991"
deleted,C:\Users\Guest\Documents\glass.pptx,"write,hidden",mtime,944603,506749,"May 28, 2025 @ 05:22:04","May 28, 2025 @ 06:16:58",1a9d27da1ff70a0437bf8446461328787e0e2f8704b56b69c13d16a776472578,c36e69eebae1628373dc1a0daeab792f,8894,User5,x86_64,DESKTOP-ALPHA,"May 09, 2025 @ 02:19:04.089"
deleted,C:\Users\Public\Videos\us.dll,"read,archive","group,owner",587414,302249,"May 26, 2025 @ 10:51:40","May 26, 2025 @ 11:28:28",dad397566d0f94a1e9f5b30e59bc3e1e77e3bbb16b1917ce9e02d90bfc573970,9cbd5053b8e90efd370616c230b738b0,9888,User6,x86_64,HOME-PC,"May 16, 2025 @ 15:43:41.853"
modified,C:\Windows\System32\everything.jpg,"write,system","mode,owner",616959,956870,"May 30, 2025 @ 06:34:22","May 30, 2025 @ 07:03:55",e8edaf6e4b30178e03363bc6980d8fd4294d5a47048662362a3863b988bb6d4b,8f57daa69c75c53f04ed63b2f6f0b01a578025da78693458c35085bac1bfad3f,7328,Guest,arm64,DESKTOP-ALPHA,"May 11, 2025 @ 07:22:00.180"
deleted,C:\Users\Public\Videos\what.csv,"read,system,exec,hidden","size,mtime",1665097,2131158,"May 18, 2025 @ 23:06:35","May 18, 2025 @ 23:38:09",43107201460c3b12e1007292ae83f0f165e457285769fe93c262490b97687975,dd10a19697d057ea0b09175d6b98e246,1059,Admin,AMD64,WORKSTATION-01,"May 11, 2025 @ 18:25:23.195"
modified,C:\Users\User2\Desktop\level.csv,"read,hidden,system","group,owner",1156198,723033,"May 08, 2025 @ 15:17:01","May 08, 2025 @ 15:55:46",0969022175af3eabf8b327bd3f91fa9c310595aae942de5f238ca3fdcb3df9d6,1ff2224a9e97dc4b9b63a66ecea16f1c,7554,System,x86,LAPTOP-1234,"May 16, 2025 @ 12:26:33.367"
modified,C:\Windows\System32\according.zip,"hidden,read","group,owner",812694,892763,"May 15, 2025 @ 07:16:26","May 15, 2025 @ 07:33:39",0fb085cd52e0bd20ffc1e1c93fe9c343a45567e7b8512abeeaee38469fc66a5f,567a1ac13c623a076df12239aa6038d878d599b37317171c5dc7b29f4ace7b89,4341,Admin,arm64,DESKTOP-XYZ,"May 28, 2025 @ 20:29:00.717"
deleted,C:\Users\Public\Videos\five.zip,"hidden,system,exec",mtime,1094149,917770,"May 02, 2025 @ 18:08:38","May 02, 2025 @ 18:33:25",d06353364951b5587678b03292a4aa3fbfff76b860d4462a4b41b0ce18990493,b22a72faa823a717c7624cbf6cac15d61d405019ac795f95a0b1e31572384051,1427,User4,x86_64,PC-GAMER,"May 25, 2025 @ 09:36:38.604"
modified,C:\Windows\System32\cultural.xlsx,"exec,read,hidden",size,286738,765984,"May 10, 2025 @ 18:35:24","May 10, 2025 @ 19:24:15",df094d8470c65befbf5c72eb5144415e5208ef91026ad5837f5496abbff5d123,698f0db8fc52d4684a19e5497c89aa84,9958,User4,AMD64,WORKSTATION-01,"May 18, 2025 @ 12:45:12.551"
added,C:\Windows\System32\piece.xlsx,"system,read,archive","mtime,mode",1488878,1676113,"May 22, 2025 @ 05:37:54","May 22, 2025 @ 06:19:53",ff0054989f95713083e1b5bd49f4aa69e5ba01c0da54be7aa4253e2a2a29f33f,b6ead860e088b071f75ad43d13602f8746b940658e8d181372746f2a1cc7669a,3210,Guest,AMD64,DESKTOP-5JEIKFF,"May 07, 2025 @ 14:54:51.674"
